ART_ID,ART_Name,ART_Genre,ART_Image
21,Michael W. Smith,,https://i.scdn.co/image/ab6761610000e5eb7bbd1530c16bdd93f9d5f7be
22,Gregory Alan Isakov,,https://i.scdn.co/image/ab6761610000e5eb4528d0f9bb51b241561a16f3
23,Bryan Adams,,https://i.scdn.co/image/ab6761610000e5eb9333e218db341b192817db03
24,Kawika Kahiapo,,https://i.scdn.co/image/ab67616d0000b27330863c2c04795dfe7b7f08d2
4,NEEDTOBREATHE,,https://i.scdn.co/image/ab6761610000e5eb05a128c405ad16a6d812b457
25,Brad Paisley,,https://i.scdn.co/image/ab6761610000e5eb378509adb9eed426bd853d0f
26,Elevation Worship,,https://i.scdn.co/image/ab6761610000e5eb6fa137c74960a6a81f11ee70
27,Chris Tomlin,,https://i.scdn.co/image/ab6761610000e5eb802bb2bb7b9db696e444096d
28,Little Simz,,https://i.scdn.co/image/ab6761610000e5eba22264dfbad2d96ffc6ee2e0
29,Kelly Clarkson,,https://i.scdn.co/image/ab6761610000e5eb20b8c7d395994dc81a85f291
30,Frank Ocean,,https://i.scdn.co/image/ab6761610000e5ebee3123e593174208f9754fab
31,Halsey,,https://i.scdn.co/image/ab6761610000e5eb15136101a0f63f0b2800b9dc
32,Hollyn,,https://i.scdn.co/image/ab6761610000e5eb0640084de65aed4665b99aa9
33,Billy Graham,,https://i.scdn.co/image/ab67616d0000b273d8f421719c934534927dcaf8
34,Sweeney Todd 2023 Broadway Orchestra,,
35,Sharon Jones & The Dap-Kings,,https://i.scdn.co/image/cd0f5585d478bbb91cff3e0b723ed91c6d2046d7
36,Leo Z,,https://i.scdn.co/image/ab6761610000e5ebc02e14b6f45b795f18359cd4
37,George Strait,,https://i.scdn.co/image/ab6761610000e5eb77f28b2422efbabde324291c
38,Billy Strings,,https://i.scdn.co/image/ab6761610000e5eb532fd0e6740fd3db38933afb
39,CHPTRS,,https://i.scdn.co/image/ab6761610000e5eb7380db5a5dc4cb7620b33c65
40,Thalia,,https://i.scdn.co/image/ab6761610000e5ebd2cd2059cca065a296c22386
41,Future,,https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb
42,Doja Cat,,https://i.scdn.co/image/ab6761610000e5eb8a0644455ebfa7d3976f5101
43,Kevin Fowler,,https://i.scdn.co/image/ab6761610000e5eb82af3290ca1eff441dfc4c8f
44,SZA,,https://i.scdn.co/image/ab6761610000e5ebfd0a9fb6c252a3ba44079acf
45,Evan Wickham,,https://i.scdn.co/image/ab6761610000e5ebb221d2ba968b6c1fa5508e4a
